Year,Location,Heat Wave,Dry Spell,Cold Wave,Wet Spell,Avg Min Temp *C,Yr Rain mm,Irrigation,Crop Type,Crop Damage,Yield,Observer
1980,Lake Meganhaven,N,N,Y,N,19.7,881.87,Y,Canola,Y,1595.59,Kiara Miller
1980,East Stevenside,N,N,Y,N,23.1,617.83,Y,Wheat,Y,1427.49,Eric Le
1980,Davidfurt,N,N,N,N,21.2,1033.66,N,Soy,N,795.43,Taylor Robinson
1981,Lake Meganhaven,N,N,Y,N,20.3,802.37,Y,Canola,Y,1621.85,Kevin Walters
1981,East Stevenside,N,N,Y,N,22.7,660.74,Y,Wheat,Y,1414.95,Eric Le
1981,Davidfurt,N,N,N,N,21.0,1357.04,N,Wheat,N,1196.98,Melinda Evans
1982,Lake Meganhaven,N,N,Y,N,20.2,896.89,Y,Wheat,Y,1319.09,Emily Brown
1982,East Stevenside,N,N,Y,N,23.0,561.53,Y,Soy,Y,1024.77,Eric Le
1982,Davidfurt,N,N,N,N,21.1,1338.88,N,Canola,N,1496.08,Christina Walker
1983,Lake Meganhaven,N,N,Y,N,20.1,821.94,Y,Soy,Y,913.46,William Barnes
1983,East Stevenside,N,N,N,N,23.4,731.97,Y,Wheat,N,1435.86,Eric Le
1983,Davidfurt,N,N,N,N,20.9,1411.27,N,Canola,N,1497.38,Anthony Drake
1984,Lake Meganhaven,N,N,Y,N,20.2,978.99,Y,Wheat,Y,1315.47,William Barnes
1984,East Stevenside,N,N,Y,N,23.4,612.66,Y,Soy,Y,1035.23,Brad Nunez
1984,Davidfurt,N,N,N,N,21.3,1170.74,N,Wheat,N,1194.59,Anthony Drake
1985,East Stevenside,N,N,Y,N,23.3,750.13,Y,Wheat,Y,1434.07,Alyssa Garcia
1985,Davidfurt,N,N,N,N,21.5,1488.52,N,Soy,N,793.67,Brenda Tran
1985,Lake Meganhaven,N,N,N,N,20.5,917.78,Y,Wheat,N,1333.41,William Barnes
1986,Davidfurt,N,N,N,N,21.3,1307.74,N,Soy,N,794.88,Brenda Tran
1986,Lake Meganhaven,N,N,Y,N,20.4,959.62,Y,Soy,Y,926.71,Larry Lyons
1986,East Stevenside,N,N,Y,N,23.3,683.33,Y,Wheat,Y,1435.07,Alyssa Garcia
1987,Davidfurt,N,N,N,N,21.1,1287.61,N,Wheat,N,1196.13,Brenda Tran
1987,Lake Meganhaven,N,N,N,N,20.3,1004.35,Y,Wheat,N,1322.58,Laura Carter
1987,East Stevenside,N,N,Y,N,23.4,737.48,Y,Canola,Y,1737.65,Cynthia Jones
1988,Davidfurt,N,N,N,Y,21.2,1601.08,N,Soy,N,795.47,Brian Fernandez
1988,Lake Meganhaven,N,N,Y,N,20.5,1044.85,Y,Canola,Y,1629.66,Jeffrey Contreras
1988,East Stevenside,N,N,N,N,23.7,699.6,Y,Soy,N,1043.3,Cynthia Jones
1989,Davidfurt,N,N,N,N,21.4,1460.17,N,Soy,N,794.21,Donald Pena
1989,Lake Meganhaven,N,N,Y,N,20.7,825.26,Y,Canola,Y,1640.42,Jeffrey Contreras
1989,East Stevenside,N,N,Y,N,23.4,702.52,Y,Soy,Y,1037.68,Cynthia Jones
1990,Davidfurt,N,N,N,N,20.8,1381.17,N,Wheat,N,1198.11,Donald Pena
1990,East Stevenside,N,N,N,N,23.7,707.99,Y,Wheat,N,1444.15,Ebony Thompson
1990,Lake Meganhaven,N,N,Y,N,20.4,812.26,Y,Soy,Y,928.7,Jeffrey Contreras
1991,East Stevenside,N,N,N,N,24.0,792.84,Y,Soy,N,1052.33,Ebony Thompson
1991,Davidfurt,N,N,N,N,21.5,1393.7,N,Soy,N,793.35,Donald Pena
1991,Lake Meganhaven,N,N,N,N,20.9,1061.03,Y,Canola,N,1647.48,Yolanda Carter
1992,East Stevenside,N,N,Y,N,23.4,790.23,Y,Soy,Y,1035.69,Ebony Thompson
1992,Davidfurt,N,N,N,N,21.6,1461.69,N,Soy,N,792.09,Daniel Miller
1992,Lake Meganhaven,N,N,Y,N,20.2,1099.03,Y,Wheat,Y,1315.6,Justin Chavez
1993,East Stevenside,N,N,N,N,23.9,774.02,Y,Wheat,N,1450.69,Casey Hernandez
1993,Davidfurt,N,N,N,N,21.5,1386.32,N,Soy,N,793.4,Daniel Miller
1993,Lake Meganhaven,N,N,N,N,20.8,1076.4,Y,Soy,N,942.92,Michael Walters
1994,East Stevenside,N,N,N,N,23.9,777.79,Y,Wheat,N,1450.37,Casey Hernandez
1994,Davidfurt,N,N,N,N,21.3,1480.93,N,Canola,N,1495.21,Shawna Chen
1994,Lake Meganhaven,N,N,N,N,20.6,990.04,Y,Soy,N,935.09,Michael Walters
1995,East Stevenside,N,N,Y,N,24.0,827.77,Y,Canola,Y,1751.8,Casey Hernandez
1995,Davidfurt,N,N,N,N,21.8,1531.2,N,Canola,N,1490.62,Tyler Watts
1995,Lake Meganhaven,N,N,N,N,21.0,1144.95,Y,Canola,N,1654.75,Michael Walters
1996,Lake Meganhaven,N,N,N,Y,20.8,1201.48,Y,Soy,N,946.0,Michael Walters
1996,East Stevenside,N,N,N,N,23.7,840.17,Y,Wheat,N,1444.17,Casey Hernandez
1996,Davidfurt,N,N,N,N,21.4,1405.45,N,Wheat,N,1194.07,Tyler Watts
